Unit ID,Unit Name,Unit name local script,Fuel type,Unit type,Country/Area,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Onshore/Offshore,Production Type,Wiki URL
OG0013550,Long Lake Waseca,,oil,pool,Canada,Saskatchewan,52.576,-109.762,exact,operating,2023,1990,,,,,Onshore,Unknown,"https://www.gem.wiki/Long_Lake_Waseca_Oil_Pool_(Saskatchewan,_Canada)"
OG0013552,Lost Horse H. Frob-Alida,,oil,pool,Canada,Saskatchewan,49.794,-103.015,exact,operating,2022,1963,,,,,Onshore,Unknown,"https://www.gem.wiki/Lost_Horse_H._Frob-Alida_Oil_Pool_(Saskatchewan,_Canada)"
OG0013553,Lougheed Midale,,oil,pool,Canada,Saskatchewan,49.483,-103.909,exact,operating,2023,1959,,,,,Onshore,Unknown,"https://www.gem.wiki/Lougheed_Midale_Oil_Pool_(Saskatchewan,_Canada)"
OG0013558,Loverna Success,,oil,pool,Canada,Saskatchewan,51.655,-109.885,exact,operating,2023,1952,,,,,Onshore,Unknown,"https://www.gem.wiki/Loverna_Success_Oil_Pool_(Saskatchewan,_Canada)"
OG0013564,Lucky Hills Viking,,oil,pool,Canada,Saskatchewan,51.58,-109.172,exact,operating,2023,1959,,,,,Onshore,Unknown,"https://www.gem.wiki/Lucky_Hills_Viking_Oil_Pool_(Saskatchewan,_Canada)"
OG0013565,Luseland Bakken,,oil,pool,Canada,Saskatchewan,52.069,-109.536,exact,operating,2023,1979,,,,,Onshore,Unknown,"https://www.gem.wiki/Luseland_Bakken_Oil_Pool_(Saskatchewan,_Canada)"
OG0013566,Luseland Viking,,gas,pool,Canada,Saskatchewan,52.009,-109.629,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Luseland_Viking_Gas_Pool_(Saskatchewan,_Canada)"
OG0013567,Macklin Sparky,,oil,pool,Canada,Saskatchewan,52.368,-109.902,exact,operating,2023,1976,,,,,Onshore,Unknown,"https://www.gem.wiki/Macklin_Sparky_Oil_Pool_(Saskatchewan,_Canada)"
OG0013568,Macoun Midale,,oil,pool,Canada,Saskatchewan,49.32,-103.051,exact,operating,2023,1969,,,,,Onshore,Unknown,"https://www.gem.wiki/Macoun_Midale_Oil_Pool_(Saskatchewan,_Canada)"
OG0013569,Macoun N Winnipegosis,,oil,pool,Canada,Saskatchewan,49.336,-103.066,exact,operating,2017,1988,,,,,Onshore,Unknown,"https://www.gem.wiki/Macoun_N_Winnipegosis_Oil_Pool_(Saskatchewan,_Canada)"
OG0013572,Macoun Winnipegosis,,oil,pool,Canada,Saskatchewan,49.306,-103.093,exact,operating,2023,1990,,,,,Onshore,Unknown,"https://www.gem.wiki/Macoun_Winnipegosis_Oil_Pool_(Saskatchewan,_Canada)"
